Posicao;Aluno;Pontuacao;Vitorias;Derrotas;Descartes;Acertos;Erros
1;1;5000;40;2;18;500;250
2;2;3500;38;1;7;350;175
3;3;3400;36;2;10;340;170
4;4;3200;32;3;12;320;160
5;5;3100;30;3;8;310;155
6;6;2800;28;2;7;280;140
7;7;2600;26;3;4;260;130
8;8;2400;24;2;14;240;120
9;9;2200;22;3;15;220;110
10;10;2100;20;1;17;210;105
11;11;1800;19;3;1;180;90
12;12;1600;18;2;5;160;80
13;13;1400;17;3;7;140;70
14;14;1300;16;1;14;130;65
15;15;1100;15;1;9;110;55
16;16;950;14;3;11;95;47
17;17;850;13;3;5;85;42
18;18;750;12;2;15;75;37
19;19;650;11;1;2;65;32
20;20;555;11;2;10;56;28
21;21;450;10;1;19;45;22
22;22;350;9;3;12;35;17
23;23;250;9;3;4;25;12
24;24;240;8;3;8;24;12
25;25;230;8;1;20;23;11
26;26;220;7;3;20;22;11
27;27;210;7;1;14;21;10
28;28;200;6;2;1;20;10
29;29;180;6;1;5;18;9
30;30;170;5;2;5;17;8
31;31;150;5;3;4;15;7
32;32;140;4;1;10;14;7
33;33;130;4;2;8;13;6
34;34;120;3;2;0;12;6
35;35;100;3;3;5;10;5
